split,item_id,item_idx,phase,graph_sample_count,graph_mean,graph_std_within,graph_between_sample_std,graph_density_gt_0_5,graph_diag_mean,guidance_loss_mean,guidance_loss_last,sampling_seconds
validation,11,10,Warm C,4,0.5586192607879639,0.17727795243263245,0.009013248607516289,0.5246913580246914,1.0,0.605508029460907,0.6054532527923584,0.014001674018800259
validation,17,16,Cold,4,0.5556103587150574,0.17517594993114471,0.008259746246039867,0.5123456790123457,1.0,0.0,0.0,0.0018081740126945078
validation,17,16,Warm A,4,0.5577101111412048,0.17685361206531525,0.00659438781440258,0.5493827160493827,1.0,0.4898509085178375,0.48967498540878296,0.013953671033959836
validation,17,16,Warm B,4,0.5515191555023193,0.1773853451013565,0.008278357796370983,0.5185185185185185,1.0,0.4644901355107625,0.46425923705101013,0.013985686004161835
validation,17,16,Warm C,4,0.5576832294464111,0.17576737701892853,0.007342852186411619,0.5308641975308642,1.0,0.445226530234019,0.4450661838054657,0.014006228011567146
validation,41,36,Cold,4,0.5574556589126587,0.17587991058826447,0.00908505916595459,0.5555555555555556,1.0,0.0,0.0,0.0017726970254443586
validation,41,36,Warm A,4,0.5559360980987549,0.1773167997598648,0.007169673684984446,0.5370370370370371,1.0,0.7131831447283427,0.7130687236785889,0.01396048697642982
validation,41,36,Warm B,4,0.5568636655807495,0.17751289904117584,0.006972901523113251,0.5246913580246914,1.0,0.6635177632172903,0.6633363962173462,0.014022302988450974
validation,41,36,Warm C,4,0.5564523339271545,0.1771150678396225,0.007416928187012672,0.5617283950617284,1.0,0.7024984061717987,0.7021948099136353,0.013999551010783762
validation,104,76,Cold,4,0.5590255260467529,0.17791327834129333,0.007387756370007992,0.5432098765432098,1.0,0.0,0.0,0.0017765120137482882
validation,104,76,Warm A,4,0.5565069913864136,0.17655615508556366,0.009452705271542072,0.5123456790123457,1.0,0.602229098478953,0.6021764278411865,0.01392758497968316
validation,104,76,Warm B,4,0.556857705116272,0.17528407275676727,0.010306005366146564,0.5432098765432098,1.0,0.6032441258430481,0.6031699180603027,0.013959678006358445
validation,104,76,Warm C,4,0.5570858120918274,0.17768166959285736,0.005814994685351849,0.5555555555555556,1.0,0.6138152778148651,0.613760769367218,0.013971991022117436
validation,107,78,Cold,4,0.5547365546226501,0.17600463330745697,0.00790016632527113,0.5308641975308642,1.0,0.0,0.0,0.0017508040182292461
validation,107,78,Warm A,4,0.5567773580551147,0.1749500185251236,0.008469058200716972,0.5308641975308642,1.0,0.7045850952466329,0.7044843435287476,0.013951408036518842
validation,107,78,Warm B,4,0.5586411952972412,0.175846666097641,0.009597484022378922,0.5432098765432098,1.0,0.6240992446740469,0.6240521669387817,0.013963116973172873
validation,107,78,Warm C,4,0.5569021701812744,0.17555463314056396,0.007397224195301533,0.5370370370370371,1.0,0.6861176391442617,0.6860699653625488,0.013977519993204623
validation,110,79,Cold,4,0.554542064666748,0.17713522911071777,0.008514921180903912,0.5308641975308642,1.0,0.0,0.0,0.0017837610212154686
validation,110,79,Warm A,4,0.5574647188186646,0.1760142743587494,0.00726607721298933,0.5493827160493827,1.0,0.5541037321090698,0.5538879632949829,0.0139876349712722
validation,110,79,Warm B,4,0.5554200410842896,0.17608052492141724,0.009263215586543083,0.5246913580246914,1.0,0.5370738704999288,0.5369430780410767,0.013978795963339508
validation,110,79,Warm C,4,0.5567771792411804,0.17771640419960022,0.008988243527710438,0.5246913580246914,1.0,0.5172975162665049,0.5171853303909302,0.013978096016217023
validation,111,80,Cold,4,0.5532338619232178,0.1764087975025177,0.009280656464397907,0.5246913580246914,1.0,0.0,0.0,0.0017950799665413797
validation,111,80,Warm A,4,0.5543925762176514,0.1766369640827179,0.007850628346204758,0.5308641975308642,1.0,0.7633818686008453,0.7631962299346924,0.01394322799751535
validation,111,80,Warm B,4,0.5550814270973206,0.17692573368549347,0.008671118877828121,0.5123456790123457,1.0,0.6053926050662994,0.6052798628807068,0.014006368990521878
validation,111,80,Warm C,4,0.5553286075592041,0.17812605202198029,0.008882436901330948,0.5370370370370371,1.0,0.5306799610455831,0.530620276927948,0.013965454010758549
validation,158,103,Cold,4,0.5573829412460327,0.17529848217964172,0.008062396198511124,0.5370370370370371,1.0,0.0,0.0,0.001758783997502178
validation,158,103,Warm A,4,0.5522946119308472,0.17611157894134521,0.009742407128214836,0.5061728395061729,1.0,0.4298640290896098,0.4296635389328003,0.013899748970288783
validation,158,103,Warm B,4,0.5591772198677063,0.17677143216133118,0.009375556372106075,0.5246913580246914,1.0,0.5733940998713175,0.5732707381248474,0.0162223229999654
validation,158,103,Warm C,4,0.5568291544914246,0.17798608541488647,0.00875983014702797,0.5,1.0,0.5786922574043274,0.5786089897155762,0.024180547974538058
validation,160,105,Cold,4,0.5585460662841797,0.17743146419525146,0.008159843273460865,0.5370370370370371,1.0,0.0,0.0,0.0017641140148043633
validation,160,105,Warm A,4,0.5550715327262878,0.17817626893520355,0.007413842249661684,0.5,1.0,0.7233981291453043,0.723064661026001,0.018037308007478714
validation,160,105,Warm B,4,0.5549647808074951,0.17838336527347565,0.007216915488243103,0.5123456790123457,1.0,0.6974171300729116,0.6969883441925049,0.014001293980982155
validation,160,105,Warm C,4,0.5573172569274902,0.17833229899406433,0.007614605128765106,0.5432098765432098,1.0,0.6914934615294138,0.6913065314292908,0.013957988005131483
validation,163,108,Cold,4,0.559166669845581,0.17687568068504333,0.0065208924934268,0.5679012345679012,1.0,0.0,0.0,0.0017598409904167056
validation,163,108,Warm A,4,0.5549840331077576,0.17742474377155304,0.00691809318959713,0.5123456790123457,1.0,0.7090206543604533,0.7088824510574341,0.013914156996179372
validation,163,108,Warm B,4,0.558345377445221,0.17748408019542694,0.007703119423240423,0.5432098765432098,1.0,0.631155252456665,0.6310621500015259,0.013983287033624947
validation,163,108,Warm C,4,0.5549750328063965,0.17633822560310364,0.007714421488344669,0.5432098765432098,1.0,0.6161700983842214,0.6161422729492188,0.013962641009129584
validation,173,117,Cold,4,0.5577738285064697,0.17606325447559357,0.009706157259643078,0.5308641975308642,1.0,0.0,0.0,0.0017820309731177986
validation,173,117,Warm A,4,0.556872546672821,0.1751355081796646,0.008529983460903168,0.5370370370370371,1.0,0.5175588428974152,0.5173226594924927,0.013958463037852198
validation,173,117,Warm B,4,0.5556634068489075,0.17650307714939117,0.0063980803824961185,0.5308641975308642,1.0,0.5083574950695038,0.5082436800003052,0.014020155998878181
validation,173,117,Warm C,4,0.5576720237731934,0.17854416370391846,0.008720489218831062,0.5061728395061729,1.0,0.5750609040260315,0.574824869632721,0.013956270995549858
validation,186,125,Cold,4,0.5559663772583008,0.1778876781463623,0.008161189034581184,0.5493827160493827,1.0,0.0,0.0,0.0017986880266107619
validation,186,125,Warm A,4,0.5552110075950623,0.17595456540584564,0.007929662242531776,0.5061728395061729,1.0,0.5744187633196512,0.5742847323417664,0.013969257997814566
validation,186,125,Warm B,4,0.5585857629776001,0.17837096750736237,0.007721367292106152,0.5370370370370371,1.0,0.6164429783821106,0.6163511276245117,0.013959692034404725
validation,186,125,Warm C,4,0.5566304326057434,0.1776898205280304,0.009099751710891724,0.5246913580246914,1.0,0.5929787158966064,0.5928694605827332,0.013973714027088135
validation,193,130,Cold,4,0.5563234686851501,0.1758943796157837,0.008080778643488884,0.5308641975308642,1.0,0.0,0.0,0.0017597429687157273
validation,193,130,Warm A,4,0.5563550591468811,0.1775321513414383,0.008337865583598614,0.5185185185185185,1.0,0.9708181420962015,0.9703422784805298,0.013934155984316021
validation,193,130,Warm B,4,0.5536621809005737,0.17680896818637848,0.008927132934331894,0.5185185185185185,1.0,1.0485881567001343,1.048048734664917,0.013936161994934082
validation,193,130,Warm C,4,0.557644248008728,0.17437945306301117,0.007604730781167746,0.5432098765432098,1.0,0.9711378415425619,0.970595121383667,0.013935166993178427
validation,194,131,Cold,4,0.5581411719322205,0.17584258317947388,0.009252236224710941,0.5432098765432098,1.0,0.0,0.0,0.0017878140206448734
validation,194,131,Warm A,4,0.5543258786201477,0.17716459929943085,0.007109582424163818,0.5246913580246914,1.0,0.663570890824,0.6635319590568542,0.014929708035197109
validation,194,131,Warm B,4,0.5572212934494019,0.1775171309709549,0.008901776745915413,0.5493827160493827,1.0,0.6288152833779653,0.6287703514099121,0.015008706017397344
validation,194,131,Warm C,4,0.5569073557853699,0.17622116208076477,0.007992805913090706,0.5493827160493827,1.0,0.6654241581757864,0.6653330326080322,0.014924657007213682
validation,198,134,Cold,4,0.5574334859848022,0.1780056208372116,0.00853439886122942,0.5679012345679012,1.0,0.0,0.0,0.0017741749761626124
validation,198,134,Warm A,4,0.5567494034767151,0.17628438770771027,0.007733690086752176,0.5432098765432098,1.0,0.8334950009981791,0.8333598971366882,0.014951724035199732
validation,198,134,Warm B,4,0.5547434687614441,0.1758333146572113,0.00961414072662592,0.5061728395061729,1.0,0.7896055380503336,0.7894834280014038,0.014824747981037945
validation,198,134,Warm C,4,0.5546224117279053,0.17671805620193481,0.006588890217244625,0.5,1.0,0.6942260364691416,0.6941677927970886,0.015036362980026752
validation,231,154,Cold,4,0.5573174357414246,0.17643992602825165,0.009476520121097565,0.5246913580246914,1.0,0.0,0.0,0.0017876260099001229
validation,231,154,Warm A,4,0.5566818118095398,0.17746476829051971,0.007553952746093273,0.5617283950617284,1.0,0.7279856105645498,0.7278510928153992,0.01487411599373445
validation,231,154,Warm B,4,0.5575657486915588,0.17689350247383118,0.008033953607082367,0.5123456790123457,1.0,0.7216933965682983,0.7215877175331116,0.014975537022110075
