family,model_label,seed,bundle_id,schema_version,protocol_pointer_sha256,source_status,split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name,variant
dgd_ablation,DGD-Ablation:selected,9999,20260717T092842016218-s9999-5acda38d290e,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3246966004371643,0.5102225155899877,0.4527998391474817,0.9582570954427472,0.6149980883718391,0.7337256275125867,0.8639198179575813,0.5607112126279667,0.1952555395839061,22520,27215,981,6853,,emerg_exact_topk
dgd_ablation,DGD-Ablation:selected,9999,20260717T092842016218-s9999-5acda38d290e,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3733337521553039,0.6038666643506053,0.5084184043736998,0.8943023701119102,0.6482826693810825,0.7657453779380718,0.7180600670499748,0.5195716350422198,0.2088623711134005,21017,20321,2484,13747,,emerg_exact_topk
dgd_ablation,DGD-Ablation:selected,9999,20260717T092842016218-s9999-5acda38d290e,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3796099126338959,0.6599558790321179,0.5543824645994403,0.851282924130888,0.6714774786869839,0.7830244972151178,0.626847782660807,0.4828384270521308,0.22236962684406,20006,16081,3495,17987,,emerg_exact_topk
dgd_ablation,DGD-Ablation:selected,9999,20260717T092842016218-s9999-5acda38d290e,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3701491951942444,0.6846045614827424,0.5793962084744756,0.8297093740691885,0.6823200069985128,0.7936611408625216,0.5845854539769668,0.4583655023309415,0.2342224388962736,19499,14155,4002,19913,,emerg_exact_topk
emerg,EmerG,2025,20260717T053254-s2025-0c7949225aa0,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.2526672184467315,0.5027358474178811,0.4493037423846823,0.9665546146972468,0.6134463993950606,0.7411206623065215,0.8781809654501554,0.5536445948316827,0.2269646542054929,22715,27841,786,6227,cfg02_G2_D32,
emerg,EmerG,2025,20260717T053254-s2025-0c7949225aa0,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3391729593276977,0.6638468620264378,0.5562484748244354,0.8729415769541722,0.6795071378887748,0.7944132160342096,0.6406399277388872,0.4611267425835141,0.2641224190497235,20515,16366,2986,17702,cfg02_G2_D32,
emerg,EmerG,2025,20260717T053254-s2025-0c7949225aa0,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3507685363292694,0.6996473796661398,0.5957210678833467,0.8222628824305349,0.6908954396753607,0.8014910370789695,0.5634629748649447,0.4226440865158269,0.2816144139199807,19324,13114,4177,20954,cfg02_G2_D32,
emerg,EmerG,2025,20260717T053254-s2025-0c7949225aa0,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3664198517799377,0.7114940332470601,0.6126438284518828,0.7974979788094123,0.6929547261198307,0.8025380223715946,0.531397106081398,0.4124524730024134,0.2837493998710516,18742,11850,4759,22218,cfg02_G2_D32,
emerg,EmerG,3407,20260717T053447-s3407-179d309665a5,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.278169184923172,0.512498045823273,0.4541269649821091,0.9612782434790008,0.6168443758788758,0.7366848725824457,0.8641108930153382,0.5476340723318575,0.221302138664617,22591,27155,910,6913,cfg02_G2_D32,
emerg,EmerG,3407,20260717T053447-s3407-179d309665a5,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3486289083957672,0.6675467699630009,0.5599439313984169,0.8668992808816646,0.6804041078734241,0.7942989912814734,0.6320068092202401,0.4665649509344294,0.2597420878501272,20373,16011,3128,18057,cfg02_G2_D32,
emerg,EmerG,3407,20260717T053447-s3407-179d309665a5,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3705881536006927,0.7064218589866074,0.6053438038689906,0.8069018339645121,0.6917394714283108,0.8009597718236787,0.544147023571714,0.4305170231163653,0.2809499946937016,18963,12363,4538,21705,cfg02_G2_D32,
emerg,EmerG,3407,20260717T053447-s3407-179d309665a5,emerg-baseline-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3512669801712036,0.7062134134690545,0.6033379344961727,0.8183481553976426,0.6945843942430974,0.803833838566656,0.5537007764595528,0.4206151271569589,0.2851937047030618,19232,12644,4269,21424,cfg02_G2_D32,
