split,item_id,item_idx,phase,base_graph_mean,fused_graph_mean,fused_graph_std,fused_density_gt_1e_6,fused_diag_mean,sparse_branch_density_gt_1e_6,sparse_branch_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,163,108,Cold,-0.01261858455836773,0.5091675519943237,0.18989014625549316,1.0,1.0,0.38271604938271603,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,163,108,Warm A,0.001367070828564465,0.5115451812744141,0.18845190107822418,1.0,1.0,0.41975308641975306,2.384185791015625e-07,0.2508387863636017,0.6479246020317078,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,163,108,Warm B,0.005013412795960903,0.5130764245986938,0.18875452876091003,1.0,1.0,0.38271604938271603,1.1920928955078125e-07,0.2525802552700043,0.44554051756858826,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,163,108,Warm C,-0.011657229624688625,0.5085271000862122,0.18793261051177979,1.0,1.0,0.41975308641975306,2.384185791015625e-07,0.23958376049995422,0.6018587350845337,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,173,117,Cold,-0.013117222115397453,0.5088428258895874,0.1899835765361786,1.0,1.0,0.38271604938271603,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,173,117,Warm A,0.011317651718854904,0.5145928263664246,0.18743537366390228,1.0,1.0,0.4074074074074074,1.1920928955078125e-07,0.2556493580341339,0.33373376727104187,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,173,117,Warm B,0.04275672882795334,0.5217925310134888,0.18512147665023804,1.0,1.0,0.4444444444444444,1.1920928955078125e-07,0.4514022469520569,0.24452953040599823,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,173,117,Warm C,0.05535118654370308,0.5243828892707825,0.18521954119205475,1.0,1.0,0.4444444444444444,1.1920928955078125e-07,0.6269309520721436,0.24044013023376465,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,186,125,Cold,-0.0203823484480381,0.506957471370697,0.19250208139419556,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,186,125,Warm A,-0.0037742778658866882,0.510119616985321,0.19164176285266876,1.0,1.0,0.37037037037037035,2.384185791015625e-07,0.24955523014068604,0.4931170642375946,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,186,125,Warm B,0.02246597595512867,0.5161619782447815,0.1897200047969818,1.0,1.0,0.41975308641975306,2.384185791015625e-07,0.4486551284790039,0.4203902781009674,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,186,125,Warm C,0.0493033304810524,0.522095263004303,0.19040964543819427,1.0,1.0,0.35802469135802467,5.960464477539063e-08,0.6276161670684814,0.25850269198417664,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,193,130,Cold,-0.021986549720168114,0.5077798366546631,0.195111483335495,1.0,1.0,0.3333333333333333,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,193,130,Warm A,-0.020663511008024216,0.5070033073425293,0.19115786254405975,1.0,1.0,0.3950617283950617,2.384185791015625e-07,0.24848803877830505,0.7665100693702698,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,193,130,Warm B,-0.00784996896982193,0.5088809728622437,0.18818816542625427,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.4374406337738037,0.6343678832054138,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,193,130,Warm C,0.007963127456605434,0.5122232437133789,0.18833523988723755,1.0,1.0,0.4444444444444444,2.384185791015625e-07,0.6305813789367676,0.4263521134853363,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,194,131,Cold,-0.0277307890355587,0.506726086139679,0.19617769122123718,1.0,1.0,0.32098765432098764,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,194,131,Warm A,-0.035417817533016205,0.5043379068374634,0.19712485373020172,1.0,1.0,0.32098765432098764,1.7881393432617188e-07,0.24828022718429565,0.6066014170646667,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,194,131,Warm B,-0.046005744487047195,0.5016734600067139,0.19663368165493011,1.0,1.0,0.32098765432098764,2.384185791015625e-07,0.33070674538612366,0.6085016131401062,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,194,131,Warm C,-0.05767863988876343,0.4980698525905609,0.1946294903755188,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.5346609950065613,0.7451565265655518,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,198,134,Cold,-0.00974408257752657,0.5097787976264954,0.19069021940231323,1.0,1.0,0.3950617283950617,1.7881393432617188e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,198,134,Warm A,-0.034667760133743286,0.5036431550979614,0.19406218826770782,1.0,1.0,0.35802469135802467,2.384185791015625e-07,0.25306272506713867,0.8012895584106445,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,198,134,Warm B,-0.03530991077423096,0.5025656223297119,0.19285348057746887,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.368163526058197,0.6434608697891235,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,198,134,Warm C,-0.014868921600282192,0.5084408521652222,0.1932128220796585,1.0,1.0,0.3950617283950617,1.1920928955078125e-07,0.27662649750709534,0.46949902176856995,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,231,154,Cold,-0.02621503546833992,0.505711019039154,0.1930491328239441,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,231,154,Warm A,-0.016002465039491653,0.5073642730712891,0.18997660279273987,1.0,1.0,0.41975308641975306,1.7881393432617188e-07,0.22869931161403656,0.6111934781074524,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,231,154,Warm B,-0.014879726804792881,0.5076141357421875,0.1898920238018036,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.34169623255729675,0.609044075012207,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
