split,item_id,item_idx,phase,base_graph_mean,diffused_graph_mean,diffused_graph_std,diffused_density_gt_1e_6,diffused_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
evaluation,2661,1617,Warm C,-0.0039453040808439255,0.1111111119389534,0.09091681987047195,0.8518518518518519,1.1920928955078125e-07,0.30182257294654846,0.5367721915245056,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2665,1620,Cold,-0.004693126305937767,0.11111108958721161,0.08135433495044708,0.9135802469135802,1.7881393432617188e-07,0.0,0.0,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2665,1620,Warm A,-0.00460122711956501,0.1111111119389534,0.09396255016326904,0.8641975308641975,1.7881393432617188e-07,0.23528385162353516,0.6252171397209167,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2665,1620,Warm B,-0.005956889595836401,0.1111111119389534,0.09603175520896912,0.8395061728395061,2.384185791015625e-07,0.35625120997428894,0.6052079200744629,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2665,1620,Warm C,-0.004804361145943403,0.1111110970377922,0.07954006642103195,0.8888888888888888,1.1920928955078125e-07,0.4176081120967865,0.5766286253929138,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2669,1622,Cold,-0.004657442681491375,0.1111111119389534,0.08227724581956863,0.8765432098765432,1.1920928955078125e-07,0.0,0.0,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2669,1622,Warm A,-0.00348610314540565,0.1111111119389534,0.08804769814014435,0.8641975308641975,1.1920928955078125e-07,0.23366615176200867,0.5694915652275085,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2669,1622,Warm B,-0.00317211146466434,0.1111111119389534,0.10629473626613617,0.8148148148148148,1.1920928955078125e-07,0.37664732336997986,0.5437201857566833,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2669,1622,Warm C,-0.004135021008551121,0.1111111119389534,0.08762221783399582,0.9012345679012346,1.7881393432617188e-07,0.3042987883090973,0.6481186151504517,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2682,1628,Cold,-0.0006245647091418505,0.1111111119389534,0.10587110370397568,0.8024691358024691,1.1920928955078125e-07,0.0,0.0,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2682,1628,Warm A,-0.0027086350601166487,0.1111111119389534,0.12515944242477417,0.7160493827160493,2.384185791015625e-07,0.2378566563129425,0.5318220257759094,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2682,1628,Warm B,-0.006561030633747578,0.1111110970377922,0.14390142261981964,0.6790123456790124,1.1920928955078125e-07,0.4284268319606781,0.509661078453064,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2682,1628,Warm C,-0.009338240139186382,0.1111111119389534,0.15628233551979065,0.6419753086419753,1.1920928955078125e-07,0.5071579813957214,0.32743915915489197,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2696,1637,Cold,-0.00033579522278159857,0.1111111119389534,0.09463546425104141,0.8641975308641975,1.1920928955078125e-07,0.0,0.0,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2696,1637,Warm A,-0.0015113934641703963,0.1111110970377922,0.10875482112169266,0.7901234567901234,2.384185791015625e-07,0.23031237721443176,0.502264678478241,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2696,1637,Warm B,-0.0013146251440048218,0.1111111119389534,0.1104193925857544,0.8148148148148148,2.384185791015625e-07,0.3116188645362854,0.7040285468101501,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2696,1637,Warm C,-0.0049040368758141994,0.1111111119389534,0.12563709914684296,0.7037037037037037,2.384185791015625e-07,0.4046868681907654,0.5044165849685669,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2714,1648,Cold,-0.0007855097646825016,0.111111119389534,0.10763685405254364,0.8024691358024691,1.1920928955078125e-07,0.0,0.0,,cfg02_G3_D32,1.8774887570179999,cuda
evaluation,2714,1648,Warm A,0.0009441328584216535,0.1111111119389534,0.09800539910793304,0.8395061728395061,2.384185791015625e-07,0.23749922215938568,0.6343156099319458,,cfg02_G3_D32,1.8774887570179999,cuda
