family,model_label,seed,bundle_id,schema_version,protocol_pointer_sha256,source_status,split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name,variant
dgd_ablation,DGD-Ablation:selected,4517,20260716T185504249041-s4517-b7f072a51da0,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3973535895347595,0.6796887213604544,0.5749355918149782,0.8261350580826348,0.6780164134800071,0.7868237167587446,0.5865830568535149,0.474016897186222,0.2288947988535452,19415,14354,4086,19714,,full_dgd
dgd_ablation,DGD-Ablation:selected,4517,20260716T185504249041-s4517-b7f072a51da0,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3867126107215881,0.7013670551859508,0.6000190240654428,0.8052423301136122,0.6876453488372094,0.7973202361162481,0.547846931508277,0.449826120475895,0.2421653991302754,18924,12615,4577,21453,,full_dgd
dgd_ablation,DGD-Ablation:selected,7788,20260716T184901918664-s7788-13b5a43bc93d,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.323817640542984,0.512984418697563,0.454307357563059,0.9595336368665164,0.616650942751275,0.7332487961249137,0.8622001424377703,0.560346197783217,0.1956521121360144,22550,27086,951,6982,,full_dgd
dgd_ablation,DGD-Ablation:selected,7788,20260716T184901918664-s7788-13b5a43bc93d,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3668486475944519,0.6015911341173201,0.5067676017535875,0.9001319092804562,0.6484580957635951,0.7661082924547559,0.7250951032673835,0.5161782116163514,0.210933330396952,21154,20589,2347,13479,,full_dgd
dgd_ablation,DGD-Ablation:selected,7788,20260716T184901918664-s7788-13b5a43bc93d,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3840047419071197,0.665358092028696,0.5596586107824911,0.845453384962342,0.6734911784146569,0.7846744367476423,0.6166860636801056,0.4787953388054021,0.2261209866824322,19869,15633,3632,18435,,full_dgd
dgd_ablation,DGD-Ablation:selected,7788,20260716T184901918664-s7788-13b5a43bc93d,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3506629467010498,0.6792892007851448,0.5725811098945427,0.8455810391047189,0.6828044736887317,0.795546702358667,0.6028591776824332,0.4540362444191218,0.2392612794490522,19872,14834,3629,19234,,full_dgd
dgd_ablation,DGD-Ablation:selected,9999,20260716T185103544146-s9999-ad177796f59f,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3324033617973327,0.5136444961698137,0.4544441743639604,0.954640228075401,0.6157625327642757,0.7330116559857804,0.8575448592124234,0.5623439868081904,0.195397553046877,22435,26933,1066,7135,,full_dgd
dgd_ablation,DGD-Ablation:selected,9999,20260716T185103544146-s9999-ad177796f59f,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3685370683670044,0.6017127273358925,0.506877314480835,0.8969405557210332,0.6477176701952772,0.7656610964026487,0.7223679410794004,0.5187361863928692,0.2101029593783066,21079,20507,2422,13561,,full_dgd
dgd_ablation,DGD-Ablation:selected,9999,20260716T185103544146-s9999-ad177796f59f,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3883196413516998,0.6670430266289149,0.5616797153024911,0.8394961916514191,0.6730460887660764,0.7835167620340683,0.6101374003369869,0.4802475796235637,0.2246673416322563,19729,15396,3772,18672,,full_dgd
dgd_ablation,DGD-Ablation:selected,9999,20260716T185103544146-s9999-ad177796f59f,dgd-ablation-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3764013946056366,0.6911705952856572,0.5872415685796182,0.8194544912982427,0.6841815436539657,0.7943451148399416,0.5696468585523459,0.4554885738792489,0.2369787562144251,19258,13536,4243,20532,,full_dgd
